Sample in Buffer,Sample in Window,TRIGGER,block_design_i/system_ila_ad_if/inst/probe0_1[13:0],block_design_i/system_ila_ad_if/inst/probe1_1,block_design_i/system_ila_ad_if/inst/probe2_1[13:0],block_design_i/system_ila_ad_if/inst/probe3_1[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED,HEX,SIGNED,HEX
3029,3029,0,3313,1,-7568,00000001
3030,3030,0,-7568,1,-4843,00000001
3031,3031,0,-4843,1,-7456,00000001
3032,3032,0,-7456,1,3311,00000001
3033,3033,0,3311,1,-7560,00000001
3034,3034,0,-7560,1,-4844,00000001
3035,3035,0,-4844,1,-7462,00000001
3036,3036,0,-7462,1,3314,00000001
3037,3037,0,3314,1,-7557,00000001
3038,3038,0,-7557,1,-4842,00000001
3039,3039,0,-4842,1,-7469,00000001
3040,3040,0,-7469,1,3318,00000001
3041,3041,0,3318,1,-7546,00000001
3042,3042,0,-7546,1,-4839,00000001
3043,3043,0,-4839,1,-7474,00000001
3044,3044,0,-7474,1,3322,00000001
3045,3045,0,3322,1,-7546,00000001
3046,3046,0,-7546,1,-4843,00000001
3047,3047,0,-4843,1,-7475,00000001
3048,3048,0,-7475,1,3317,00000001
3049,3049,0,3317,1,-7546,00000001
3050,3050,0,-7546,1,-4842,00000001
3051,3051,0,-4842,1,-7488,00000001
3052,3052,0,-7488,1,3320,00000001
3053,3053,0,3320,1,-7540,00000001
3054,3054,0,-7540,1,-4843,00000001
3055,3055,0,-4843,1,-7490,00000001
3056,3056,0,-7490,1,3322,00000001
3057,3057,0,3322,1,-7536,00000001
3058,3058,0,-7536,1,-4837,00000001
3059,3059,0,-4837,1,-7484,00000001
3060,3060,0,-7484,1,3321,00000001
3061,3061,0,3321,1,-7539,00000001
3062,3062,0,-7539,1,-4842,00000001
3063,3063,0,-4842,1,-7484,00000001
3064,3064,0,-7484,1,3323,00000001
3065,3065,0,3323,1,-7538,00000001
3066,3066,0,-7538,1,-4840,00000001
3067,3067,0,-4840,1,-7492,00000001
3068,3068,0,-7492,1,3324,00000001
3069,3069,0,3324,1,-7534,00000001
3070,3070,0,-7534,1,-4843,00000001
3071,3071,0,-4843,1,-7490,00000001
3072,3072,0,-7490,1,3321,00000001
3073,3073,0,3321,1,-7538,00000001
3074,3074,0,-7538,1,-4838,00000001
3075,3075,0,-4838,1,-7485,00000001
3076,3076,0,-7485,1,3323,00000001
3077,3077,0,3323,1,-7534,00000001
3078,3078,0,-7534,1,-4839,00000001
3079,3079,0,-4839,1,-7481,00000001
3080,3080,0,-7481,1,3320,00000001
3081,3081,0,3320,1,-7544,00000001
3082,3082,0,-7544,1,-4841,00000001
3083,3083,0,-4841,1,-7475,00000001
3084,3084,0,-7475,1,3323,00000001
3085,3085,0,3323,1,-7552,00000001
3086,3086,0,-7552,1,-4846,00000001
3087,3087,0,-4846,1,-7472,00000001
3088,3088,0,-7472,1,3321,00000001
3089,3089,0,3321,1,-7554,00000001
3090,3090,0,-7554,1,-4843,00000001
3091,3091,0,-4843,1,-7462,00000001
3092,3092,0,-7462,1,3319,00000001
3093,3093,0,3319,1,-7552,00000001
3094,3094,0,-7552,1,-4840,00000001
3095,3095,0,-4840,1,-7459,00000001
3096,3096,0,-7459,1,3321,00000001
3097,3097,0,3321,1,-7561,00000001
3098,3098,0,-7561,1,-4841,00000001
3099,3099,0,-4841,1,-7452,00000001
3100,3100,0,-7452,1,3321,00000001
3101,3101,0,3321,1,-7570,00000001
3102,3102,0,-7570,1,-4840,00000001
3103,3103,0,-4840,1,-7447,00000001
3104,3104,0,-7447,1,3316,00000001
3105,3105,0,3316,1,-7573,00000001
3106,3106,0,-7573,1,-4842,00000001
3107,3107,0,-4842,1,-7436,00000001
3108,3108,0,-7436,1,3310,00000001
3109,3109,0,3310,1,-7576,00000001
