Sample in Buffer,Sample in Window,TRIGGER,block_design_i/system_ila_1/inst/probe0_1,block_design_i/system_ila_1/inst/probe1_1,block_design_i/system_ila_1/inst/probe2_1[13:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,UNSIGNED
941,941,0,1,0,4878
942,942,0,0,0,15199
943,943,0,1,0,15199
944,944,0,0,0,15371
945,945,0,1,0,13323
946,946,0,0,0,6075
947,947,0,1,0,6075
948,948,0,0,0,9521
949,949,0,1,0,9521
950,950,0,0,0,5934
951,951,0,1,0,4910
952,952,0,0,0,15209
953,953,0,1,0,15209
954,954,0,0,0,15398
955,955,0,1,0,13350
956,956,0,0,0,6093
957,957,0,1,0,6093
958,958,0,0,0,9522
959,959,0,1,0,9522
960,960,0,0,0,5923
961,961,0,1,0,4899
962,962,0,0,0,15220
963,963,0,1,0,15220
964,964,0,0,0,15377
965,965,0,1,0,13329
966,966,0,0,0,6049
967,967,0,1,0,6049
968,968,0,0,0,9525
969,969,0,1,0,9525
970,970,0,0,0,5950
971,971,0,1,0,4926
972,972,0,0,0,15240
973,973,0,1,0,15240
974,974,0,0,0,15402
975,975,0,1,0,13354
976,976,0,0,0,6075
977,977,0,1,0,6075
978,978,0,0,0,9534
979,979,0,1,0,9534
980,980,0,0,0,5905
981,981,0,1,0,4881
982,982,0,0,0,15245
983,983,0,1,0,15245
984,984,0,0,0,15385
985,985,0,1,0,13337
986,986,0,0,0,6059
987,987,0,1,0,6059
988,988,0,0,0,9514
989,989,0,1,0,9514
990,990,0,0,0,5913
991,991,0,1,0,4889
992,992,0,0,0,15222
993,993,0,1,0,15222
994,994,0,0,0,15402
995,995,0,1,0,13354
996,996,0,0,0,6050
997,997,0,1,0,6050
998,998,0,0,0,9530
999,999,0,1,0,9530
1000,1000,0,0,0,5924
1001,1001,0,1,0,4900
1002,1002,0,0,0,15251
1003,1003,0,1,0,15251
1004,1004,0,0,0,15429
1005,1005,0,1,0,13381
1006,1006,0,0,0,6069
1007,1007,0,1,0,6069
1008,1008,0,0,0,9525
1009,1009,0,1,0,9525
