Sample in Buffer,Sample in Window,TRIGGER,block_design_i/system_ila_1/inst/probe0_1,block_design_i/system_ila_1/inst/probe1_1,block_design_i/system_ila_1/inst/probe2_1[13:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,SIGNED
719,719,0,0,0,-5677
720,720,0,0,0,6538
721,721,0,0,0,-3152
722,722,0,0,0,1541
723,723,0,0,0,140
724,724,0,0,0,-1777
725,725,0,0,0,3374
726,726,0,0,0,-4671
727,727,0,0,0,7788
728,728,0,0,0,-6453
729,729,0,0,0,7698
730,730,0,0,0,-4565
731,731,0,0,0,5961
732,732,0,0,0,-4112
733,733,0,0,0,3824
734,734,0,0,0,-338
735,735,0,0,0,724
736,736,0,0,0,992
737,737,0,0,0,-2584
738,738,0,0,0,4093
739,739,0,0,0,-4224
740,740,0,0,0,8164
741,741,0,0,0,-6636
742,742,0,0,0,7669
743,743,0,0,0,-4336
744,744,0,0,0,5538
745,745,0,0,0,-4541
746,746,0,0,0,3090
747,747,0,0,0,-526
748,748,0,0,0,-130
749,749,0,0,0,3871
750,750,0,0,0,-3328
751,751,0,0,0,4723
752,752,0,0,0,-5741
753,753,0,0,0,6400
754,754,0,0,0,-4688
755,755,0,0,0,6507
756,756,0,0,0,-6082
757,757,0,0,0,7101
758,758,0,0,0,-3893
759,759,0,0,0,2347
760,760,0,0,0,-715
761,761,0,0,0,-966
762,762,0,0,0,3662
763,763,0,0,0,-2020
764,764,0,0,0,5301
765,765,0,0,0,-5118
766,766,0,0,0,6573
767,767,0,0,0,-4684
768,768,0,0,0,6300
769,769,0,0,0,-5653
770,770,0,0,0,6510
771,771,0,0,0,-3150
772,772,0,0,0,1544
773,773,0,0,0,137
774,774,0,0,0,-1799
775,775,0,0,0,3413
776,776,0,0,0,-4701
777,777,0,0,0,7787
778,778,0,0,0,-6457
779,779,0,0,0,7689
780,780,0,0,0,-4559
781,781,0,0,0,5953
782,782,0,0,0,-4125
783,783,0,0,0,3819
784,784,0,0,0,-328
785,785,0,0,0,707
786,786,0,0,0,996
787,787,0,0,0,-2576
788,788,0,0,0,4101
789,789,0,0,0,-5254
790,790,0,0,0,8173
791,791,0,0,0,-6652
792,792,0,0,0,7673
793,793,0,0,0,-4344
794,794,0,0,0,5555
795,795,0,0,0,-4542
796,796,0,0,0,3107
797,797,0,0,0,-531
798,798,0,0,0,-126
799,799,0,0,0,3886
800,800,0,0,0,-3357
801,801,0,0,0,4729
802,802,0,0,0,-5739
803,803,0,0,0,6399
804,804,0,0,0,-4704
805,805,0,0,0,6506
806,806,0,0,0,-6050
807,807,0,0,0,7085
808,808,0,0,0,-3865
809,809,0,0,0,2340
810,810,0,0,0,-696
811,811,0,0,0,-955
812,812,0,0,0,3668
